ELECON,20200127,39.3,39.5,39,39.25,47604,0
ELECTCAST,20200127,16.1,16.1,15.55,15.75,133498,0
ELECTHERM,20200127,137.9,139.75,136,137.3,1821,0
ELGIEQUIP,20200127,255.25,259,254.05,256.7,6556,0
ELGIRUBCO,20200127,18.75,18.75,17.65,18.05,1889,0
EMAMILTD,20200127,335,335.25,321,324.5,324906,0
EMAMIPAP,20200127,152.5,154.6,145.15,145.15,28677,0
EMAMIREAL,20200127,72.65,72.65,72.65,72.65,52241,0
EMKAY,20200127,76.85,76.85,64.8,68.35,52130,0
EMMBI,20200127,112.5,114.9,109.1,110.15,16982,0
ENDURANCE,20200127,1173.7,1204.95,1172.45,1194.65,59956,0
ENERGYDEV,20200127,6.05,6.1,5.9,6,7151,0
ENGINERSIN,20200127,99.45,101.15,99.1,99.45,525129,0
ENIL,20200127,251.05,269.9,250.1,259.1,88780,0
EON,20200127,15.4,15.4,14.5,14.65,7609,0
EQ30,20200127,346.9,346.9,346.9,346.9,15,0
EQUITAS,20200127,109.95,113.25,109.55,110.85,7746076,0
ERIS,20200127,503,508.95,498.1,505.45,24885,0
EROSMEDIA,20200127,15.3,15.3,14.6,14.75,103408,0
ESABINDIA,20200127,1392.5,1490,1369.95,1460.1,22158,0
ESCORTS,20200127,718,741.6,715,734.25,1985363,0
ESSARSHPNG,20200127,6.8,7.15,6.8,7.15,21382,0
ESSELPACK,20200127,182,193,180.1,184.35,308621,0
ESTER,20200127,39,42.6,39,42.55,141677,0
EUROMULTI,20200127,0.5,0.55,0.45,0.45,5212,0
EUROTEXIND,20200127,10.3,10.5,9.85,10.25,1683,0
EVEREADY,20200127,55.7,56.5,54.9,55.15,87826,0
EVERESTIND,20200127,302.6,304.85,293.35,295.6,58070,0
EXCEL,20200127,1.15,1.15,1.15,1.15,101,0
EXCELINDUS,20200127,947.7,956,935,937.1,5982,0
EXIDEIND,20200127,203.7,208.25,202.05,202.75,2002477,0
EXPLEOSOL,20200127,310,314.85,307,307.8,5581,0
FACT,20200127,53.05,54.9,51.6,52.35,1990772,0
FAIRCHEM,20200127,472,490,462.2,480.75,6689,0
FCL,20200127,29.55,30.7,29.15,29.6,144577,0
FCONSUMER,20200127,24.5,24.7,23.7,23.85,1524269,0
FCSSOFT,20200127,0.2,0.25,0.2,0.25,1109902,0
FDC,20200127,227.7,230.9,223,228.7,104557,0
FEDERALBNK,20200127,96,96.85,94.65,95.65,8860848,0
FEL,20200127,24,24.6,23.7,23.85,356839,0
FELDVR,20200127,23,23.95,22.3,22.6,8535,0
FIEMIND,20200127,499,500.45,492.2,495.3,7158,0
FILATEX,20200127,39.7,39.8,38.85,39.05,46300,0
FINCABLES,20200127,414.55,420,412.5,418.3,24244,0
FINEORG,20200127,2240,2252,2216,2235.35,10799,0
